HCP_ID,Province,Specialty,Market_Intensity,Patient_Volume,Category_TRx,Target_TRx,Target_Share,Competitor_Share,Category_Growth,New_Patient_Share,Field_Engagement,Digital_Engagement
HCP_0001,Newfoundland and Labrador,Internal Medicine,0.404681032415471,303,171,71,0.4152046783625731,0.5847953216374269,0.027902502118015756,0.16527373348748414,86,97
HCP_0002,Newfoundland and Labrador,Internal Medicine,0.404681032415471,242,103,50,0.4854368932038835,0.5145631067961165,-0.08562144753816202,0.09838123037486801,35,38
HCP_0003,Newfoundland and Labrador,Internal Medicine,0.404681032415471,319,172,97,0.563953488372093,0.436046511627907,0.08276128609932629,0.18966415821690646,2,18
HCP_0004,Newfoundland and Labrador,Internal Medicine,0.404681032415471,434,193,12,0.06217616580310881,0.9378238341968912,-0.1989568045055642,0.3929700514738331,97,30
HCP_0005,Newfoundland and Labrador,Internal Medicine,0.404681032415471,234,169,23,0.13609467455621302,0.863905325443787,0.0389651860874881,0.12905849452675155,18,76
HCP_0006,Newfoundland and Labrador,Cardiology,0.4812710250285086,256,199,107,0.5376884422110553,0.4623115577889447,0.05192303387541925,0.2642555306301302,27,23
HCP_0007,Newfoundland and Labrador,Gastroenterology,0.3365264743427081,403,173,52,0.30057803468208094,0.699421965317919,0.14535204595342538,0.2015405674438972,22,68
HCP_0008,Newfoundland and Labrador,Neurology,0.6988703840983378,437,342,123,0.35964912280701755,0.6403508771929824,0.16683466993134163,0.07485859867726433,6,86
HCP_0009,Newfoundland and Labrador,Psychiatry,0.21500644365437918,157,96,40,0.4166666666666667,0.5833333333333333,-0.01042835426892609,0.22075681209932085,75,82
HCP_0010,Newfoundland and Labrador,Psychiatry,0.21500644365437918,224,116,49,0.4224137931034483,0.5775862068965517,0.031926318244408045,0.2957575150269094,13,64
HCP_0011,Newfoundland and Labrador,Psychiatry,0.21500644365437918,158,68,38,0.5588235294117647,0.4411764705882353,-0.0419344996732805,0.2296269915397366,45,32
HCP_0012,Newfoundland and Labrador,Psychiatry,0.21500644365437918,158,95,57,0.6,0.4,-0.08536750657692325,0.3552371223113034,14,58
HCP_0013,Newfoundland and Labrador,Psychiatry,0.21500644365437918,202,145,65,0.4482758620689655,0.5517241379310345,0.08718737352567615,0.15112795583015393,66,32
HCP_0014,Newfoundland and Labrador,Psychiatry,0.21500644365437918,95,65,14,0.2153846153846154,0.7846153846153846,-0.1028302658315919,0.08018720995638773,14,31
HCP_0015,Newfoundland and Labrador,Pediatrics,0.4361244562034001,144,60,32,0.5333333333333333,0.4666666666666667,0.0002447719313764321,0.37779796408030214,50,58
HCP_0016,Newfoundland and Labrador,Pediatrics,0.4361244562034001,217,93,7,0.07526881720430108,0.9247311827956989,-0.06942087518790849,0.18236872233487667,87,91
HCP_0017,Newfoundland and Labrador,Pediatrics,0.4361244562034001,185,104,18,0.17307692307692307,0.8269230769230769,0.11596198235483117,0.2517419430087717,7,100
HCP_0018,Newfoundland and Labrador,Pediatrics,0.4361244562034001,295,153,83,0.5424836601307189,0.4575163398692811,0.2661716119119786,0.3272010941455686,68,40
